S,m_1,n_1,m_2,n_2,hat_p,W_1,W_2
"{(2, 2), (7, 3)}",2,2,7,3,2/3,42/55,13/55
"{(2, 3), (6, 3)}",2,3,6,3,7/12,28/33,5/33
"{(2, 3), (7, 2)}",2,3,7,2,2/3,14/15,1/15
"{(3, 1), (7, 3)}",3,1,7,3,3/4,21/55,34/55
"{(3, 2), (6, 3)}",3,2,6,3,2/3,98/165,67/165
"{(3, 2), (7, 2)}",3,2,7,2,3/4,42/55,13/55
"{(3, 3), (5, 3)}",3,3,5,3,7/12,91/132,41/132
"{(3, 3), (6, 2)}",3,3,6,2,2/3,28/33,5/33
"{(3, 3), (7, 1)}",3,3,7,1,3/4,21/22,1/22
"{(4, 1), (6, 3)}",4,1,6,3,3/4,14/55,41/55
"{(4, 1), (7, 2)}",4,1,7,2,5/6,14/33,19/33
"{(4, 2), (5, 3)}",4,2,5,3,2/3,14/33,19/33
"{(4, 2), (6, 2)}",4,2,6,2,3/4,7/11,4/11
"{(4, 2), (7, 1)}",4,2,7,1,5/6,28/33,5/33
"{(4, 3), (4, 3)}",4,3,4,3,7/12,1/2,1/2
"{(4, 3), (5, 2)}",4,3,5,2,2/3,8/11,3/11
"{(4, 3), (6, 1)}",4,3,6,1,3/4,10/11,1/11
"{(5, 1), (5, 3)}",5,1,5,3,3/4,7/44,37/44
"{(5, 1), (6, 2)}",5,1,6,2,5/6,7/22,15/22
"{(5, 1), (7, 1)}",5,1,7,1,11/12,7/12,5/12
"{(5, 2), (4, 3)}",5,2,4,3,2/3,3/11,8/11
"{(5, 2), (5, 2)}",5,2,5,2,3/4,1/2,1/2
"{(5, 2), (6, 1)}",5,2,6,1,5/6,17/22,5/22
"{(6, 1), (4, 3)}",6,1,4,3,3/4,1/11,10/11
"{(6, 1), (5, 2)}",6,1,5,2,5/6,5/22,17/22
"{(6, 1), (6, 1)}",6,1,6,1,11/12,1/2,1/2
"{(2, 3), (7, 3)}",2,3,7,3,8/13,126/143,17/143
"{(3, 2), (7, 3)}",3,2,7,3,9/13,42/65,23/65
"{(3, 3), (6, 3)}",3,3,6,3,8/13,322/429,107/429
"{(3, 3), (7, 2)}",3,3,7,2,9/13,126/143,17/143
"{(4, 1), (7, 3)}",4,1,7,3,10/13,42/143,101/143
"{(4, 2), (6, 3)}",4,2,6,3,9/13,70/143,73/143
"{(4, 2), (7, 2)}",4,2,7,2,10/13,98/143,45/143
"{(4, 3), (5, 3)}",4,3,5,3,8/13,84/143,59/143
"{(4, 3), (6, 2)}",4,3,6,2,9/13,112/143,31/143
"{(4, 3), (7, 1)}",4,3,7,1,10/13,133/143,10/143
"{(5, 1), (6, 3)}",5,1,6,3,10/13,28/143,115/143
"{(5, 1), (7, 2)}",5,1,7,2,11/13,14/39,25/39
"{(5, 2), (5, 3)}",5,2,5,3,9/13,49/143,94/143
"{(5, 2), (6, 2)}",5,2,6,2,10/13,161/286,125/286
"{(5, 2), (7, 1)}",5,2,7,1,11/13,21/26,5/26
"{(6, 1), (5, 3)}",6,1,5,3,10/13,35/286,251/286
"{(6, 1), (6, 2)}",6,1,6,2,11/13,7/26,19/26
"{(6, 1), (7, 1)}",6,1,7,1,12/13,7/13,6/13
"{(3, 3), (7, 3)}",3,3,7,3,9/14,114/143,29/143
"{(4, 2), (7, 3)}",4,2,7,3,5/7,6/11,5/11
"{(4, 3), (6, 3)}",4,3,6,3,9/14,94/143,49/143
"{(4, 3), (7, 2)}",4,3,7,2,5/7,118/143,25/143
"{(5, 1), (7, 3)}",5,1,7,3,11/14,3/13,10/13
"{(5, 2), (6, 3)}",5,2,6,3,5/7,58/143,85/143
